Name,Album,Artist,PreviewURL,Image,Language,SpotifyURL
Khusi,Khusi,The Dreamcatchers Official,null,https://i.scdn.co/image/ab67616d0000b2739cf96549efa4aef7efdc31c1,Nepali,https://open.spotify.com/track/1QSZavecOZGgV0TiPJIm3F
Afulai,Afulai,Angu Bhutia,null,https://i.scdn.co/image/ab67616d0000b273650c20f6acd0d907d3fd1e3c,Nepali,https://open.spotify.com/track/0Gudo9xDJ5wV9lgboS3qeI
Timi Ra Ma,Timi Ra Ma,Dixita Karki,null,https://i.scdn.co/image/ab67616d0000b273e1fa7522a4d2a5f0b38d188c,Nepali,https://open.spotify.com/track/4JcTtCXqWWokW6b3tNDFJZ
Satarangi,Satarangi,Lov X,null,https://i.scdn.co/image/ab67616d0000b27398a06f3d6cc53ff3f94d59a0,Nepali,https://open.spotify.com/track/7BWejikiAfHBT3jn6xSCD8
Maya Ko Sambandha,Maya Ko Sambandha,Mr.Hyozu,null,https://i.scdn.co/image/ab67616d0000b2733ade230223a5c95e489a8b37,Nepali,https://open.spotify.com/track/3kb5M8vwH9SXEzmmHfmSAL
Gajalu,Gajalu,Sushant KC,null,https://i.scdn.co/image/ab67616d0000b273b850213fc686ed8a2d8e3f41,Nepali,https://open.spotify.com/track/1rdEAQXWUTLSK2uiFrwyW3
The Woolen Sweater [Oon ko Sweater],The Woolen Sweater [Oon ko Sweater],Sujan Chapagain,null,https://i.scdn.co/image/ab67616d0000b273829505e4780efa1ce0c1681f,Nepali,https://open.spotify.com/track/1B2DmcxllDYi5PsbamkTct
Jau Bhaney Kaha Jau,Jau Bhaney Kaha Jau,Lov X,null,https://i.scdn.co/image/ab67616d0000b273b00159669aefc50a897f9371,Nepali,https://open.spotify.com/track/3MV5u9Od7SERiskAsYm4Na
Bacha,Bacha,Karan Bhatta,null,https://i.scdn.co/image/ab67616d0000b273506d3b571ec6556df2be51bb,Nepali,https://open.spotify.com/track/5T42YcXjRu1G6KoHXUxpO2
Taado,Taado,Prashant ezekiel rai,null,https://i.scdn.co/image/ab67616d0000b2730edfc121f993f127553280a5,Nepali,https://open.spotify.com/track/1DroEm4PhP606Dh2u2RGQO
Naresauna maya,Naresauna maya,PranitAcharjuNewar,null,https://i.scdn.co/image/ab67616d0000b2735ef3fc13349bed5629d02c08,Nepali,https://open.spotify.com/track/5NQ2I1AityjqtUeUoNFZDk
Farki Aauna,Farki Aauna,Lisson Khadka,null,https://i.scdn.co/image/ab67616d0000b27348abb42de09c31fee7ec6cc0,Nepali,https://open.spotify.com/track/3ZNFxa0rRlaXNGKGcqmZKo
K Bhayo Kunni,K Bhayo Kunni,Lov X,null,https://i.scdn.co/image/ab67616d0000b27352a8522c59074effa2e3bd93,Nepali,https://open.spotify.com/track/4crfY8D5CvJZjBVkoRWWXO
Angalney Chu,Angalney Chu,Oshin Karki,null,https://i.scdn.co/image/ab67616d0000b2732da0dea97853e907c623c66e,Nepali,https://open.spotify.com/track/1uweoRTx4bcUH7eifimlUZ
Yo Sahar,Yo Sahar,Prajina,null,https://i.scdn.co/image/ab67616d0000b2733f2cd027384852f7baf42b17,Nepali,https://open.spotify.com/track/2V6w4fLyAwcldDry5XofEh
Behos,Behos,Lov X,null,https://i.scdn.co/image/ab67616d0000b273feefe55153487cc52ec6c007,Nepali,https://open.spotify.com/track/0pyntH16pmETRYdQIDcdot
Andhakar Ko Ujyalo,Andhakar Ko Ujyalo,Samir Shrestha,null,https://i.scdn.co/image/ab67616d0000b273c34f7d6fc03d3ad507b9667c,Nepali,https://open.spotify.com/track/4xBiIMzQIr4i7EaDfUOyvW
YAAD,YAAD,The Dreamcatchers Official,null,https://i.scdn.co/image/ab67616d0000b2738330c37e6c18ec0fc28b9fe1,Nepali,https://open.spotify.com/track/64WqhhTJM5mCYHX7kw255B
Dhurwa Tara,Dhurwa Tara,Purna Rai,null,https://i.scdn.co/image/ab67616d0000b273bffe8bf1cad7e630c4ab17df,Nepali,https://open.spotify.com/track/49LGI7TQhqrA4m8dM6HZat
Jau Na,GHUTAN,Lov X,null,https://i.scdn.co/image/ab67616d0000b273440d3ceae3ec49525afa78df,Nepali,https://open.spotify.com/track/05lRzOGZpilzAK5PGZkCFb
BIRAM,BIRAM,Purna Rai,null,https://i.scdn.co/image/ab67616d0000b2734b90568ca2a500c4bf96b9f9,Nepali,https://open.spotify.com/track/3Ath4NVM2MClFxOoKY7w2H
Paribhasa,Paribhasa,Purna Rai,null,https://i.scdn.co/image/ab67616d0000b2736b01ae8c094161d4bed28d03,Nepali,https://open.spotify.com/track/3qfNoiitd6VIBL8aQexFBL
A love letter to Darjeeling,A love letter to Darjeeling,Purna Rai,null,https://i.scdn.co/image/ab67616d0000b273e9f3af686442ccbd6497822e,Nepali,https://open.spotify.com/track/3UxpbOxXQSb6zO0bnDSGWN
Swarga,Swarga,Purna Rai,null,https://i.scdn.co/image/ab67616d0000b273b200e545169cdbe13d854b4b,Nepali,https://open.spotify.com/track/6SitBZU7wc4Q8wdCpzTpxI
Sabai Thacha,Sabai Thacha,Lov X,null,https://i.scdn.co/image/ab67616d0000b27311aca9e6aa8039ed7f3743bf,Nepali,https://open.spotify.com/track/77BmSCH952FW9JWw3Z07dd
CHAAK,CHAAK,Purna Rai,null,https://i.scdn.co/image/ab67616d0000b2738f73b963eb9b1820b8e54168,Nepali,https://open.spotify.com/track/2QjBXwP1EWsxaf3Ufm4T17
Chitthi timilai lekhu vanchu,Chitthi timilai lekhu vanchu,Bibash Jk,null,https://i.scdn.co/image/ab67616d0000b2730467aab5c0afbe3277106d4e,Nepali,https://open.spotify.com/track/4anZsTVIs2HKiLPK5r9EFP
Aau Na,Aau Na,Lov X,null,https://i.scdn.co/image/ab67616d0000b273a9abaf5680b7461e34a28653,Nepali,https://open.spotify.com/track/5NfLlhEk92HbOmDxZlsL7P
Jhari,Jhari,Yabesh Thapa,null,https://i.scdn.co/image/ab67616d0000b27311f5e62d819ffdde81c183d7,Nepali,https://open.spotify.com/track/2GsqSu0d31eTz4o5PESDWV
Suna,Nepali Thito,Naren Limbu,null,https://i.scdn.co/image/ab67616d0000b27327602270545b342123a134d3,Nepali,https://open.spotify.com/track/0m4MyBuZHmd2TThOzzA5ir
Jiunu Nai Hola,Roka Yo Samay,Tribal Rain,null,https://i.scdn.co/image/ab67616d0000b273698de3a9f0f9794f7760ac7d,Nepali,https://open.spotify.com/track/59P5MoE5SawsaMpBVHhj6o
JHUT,JHUT,Lov X,null,https://i.scdn.co/image/ab67616d0000b27310b8f62a6e7aafe5f6cd0d90,Nepali,https://open.spotify.com/track/0wBM8WiqjkHuqXSMat980Q
Ranga,Ranga,Rockheads,null,https://i.scdn.co/image/ab67616d0000b27327c36da679ebe098c3c6def2,Nepali,https://open.spotify.com/track/4e9x7bJgI5uyu8zozFL9Mm
Najeek,Bimbaakash,Bartika Eam Rai,null,https://i.scdn.co/image/ab67616d0000b2738555ac0ffb551f30d2dcbbb0,Nepali,https://open.spotify.com/track/6darP2PR5PxDHrQgCRO1Xo
Mutu Dekhin - Raw,Mutu Dekhin (Raw),John Rai,null,https://i.scdn.co/image/ab67616d0000b2739e81c165e5ec0802b8eb4e8a,Nepali,https://open.spotify.com/track/3htJE9SQ5OmAxIC9704Yoj
Chaar Dewar,Chaar Dewar,Samir Shrestha,null,https://i.scdn.co/image/ab67616d0000b27302ef14362384c238b150ab8c,Nepali,https://open.spotify.com/track/5dTj4e61GmadiLNRKfnLgn
BAIMANI,BAIMANI,Lov X,null,https://i.scdn.co/image/ab67616d0000b27376e54ffa68d1c47f4d4ba034,Nepali,https://open.spotify.com/track/4nvXZ5lVnyIc61XVevRMnd
Parkhaai,Parkhaai,Sajjan Raj Vaidya,null,https://i.scdn.co/image/ab67616d0000b2735fd9d178f8310a6ad6c7f0e0,Nepali,https://open.spotify.com/track/2ek8eVDHsdmzPHIhyVNJJe
Timrai lagi - acoustic,Timrai lagi (acoustic),The Dreamcatchers Official,null,https://i.scdn.co/image/ab67616d0000b27306e2edd5431c160379f54887,Nepali,https://open.spotify.com/track/0lozJMbTPpsREXAqrb0Zp4
Aparichit Bhawana,Aparichit Bhawana,Oasis Thapa,null,https://i.scdn.co/image/ab67616d0000b27390b9a193df73f3eacd3082a7,Nepali,https://open.spotify.com/track/1X6I3aQr2HKnyML3raT5hX
Timilai Samjhera,Timilai Samjhera,Lov X,null,https://i.scdn.co/image/ab67616d0000b2737b7e6c9eb199eb21a1837fbf,Nepali,https://open.spotify.com/track/12dqqu9hlytclyAMpnhnxv
ANTARIKSHYA KO SAWAARI,ANTARIKSHYA KO SAWAARI,Prashant ezekiel rai,null,https://i.scdn.co/image/ab67616d0000b273dbad3c1631b8384d2c093f9f,Nepali,https://open.spotify.com/track/15ZssC9iRQZqfhnHYehrIO
Putali,Putali,The Elements,null,https://i.scdn.co/image/ab67616d0000b273c89e30751daf2baf84cdaca5,Nepali,https://open.spotify.com/track/2KkUDV8NN0sCWQoMVJSalG
Timilai Samjhera,Timilai Samjhera,Kehar Sing Limbu,null,https://i.scdn.co/image/ab67616d0000b2736572bac92d3803a4f78aa867,Nepali,https://open.spotify.com/track/2oKJK1z9eOBGTYFfeSsjvX
Satarangi,Satarangi,Lov X,null,https://i.scdn.co/image/ab67616d0000b27398a06f3d6cc53ff3f94d59a0,Nepali,https://open.spotify.com/track/7BWejikiAfHBT3jn6xSCD8
Dhairya,Dhairya,Sajjan Raj Vaidya,null,https://i.scdn.co/image/ab67616d0000b27395dac48287d3c49378394ac0,Nepali,https://open.spotify.com/track/1pKprNwMXs64PhxFcFMWCA
Bujhideu,Bujhideu,Samir Shrestha,null,https://i.scdn.co/image/ab67616d0000b2734a24667659d1d40f0036cc90,Nepali,https://open.spotify.com/track/6lP9At55G4Bf2AAih96hLk
Timilai K Bhanu,GHUTAN,Lov X,null,https://i.scdn.co/image/ab67616d0000b273440d3ceae3ec49525afa78df,Nepali,https://open.spotify.com/track/6RbPlAiVDHYBOj0wd9Lm5T
Love Is Gone - Acoustic,Love Is Gone (Acoustic),SLANDER,null,https://i.scdn.co/image/ab67616d0000b2733892a2a2c261629f34bb5536,English,https://open.spotify.com/track/7F1CiKqrY44kh5cDqwHOnx
Dancing With Your Ghost,Dancing With Your Ghost,Sasha Alex Sloan,null,https://i.scdn.co/image/ab67616d0000b273141cf717cd3993690358a60c,English,https://open.spotify.com/track/1TQXIltqoZ5XXyfCbAeSQQ
Moral of the Story,Moral of the Story,Ashe,null,https://i.scdn.co/image/ab67616d0000b273aea0d98794e91056c608e069,English,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
changes,?,XXXTENTACION,null,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,English,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
Rise,Rise,MVSE,null,https://i.scdn.co/image/ab67616d0000b27334ecab25b643e4062d009c14,English,https://open.spotify.com/track/1nNJChZ62mATWEae6G99VU
SOMETIME2,Broken Symphonies,Jan Metternich,null,https://i.scdn.co/image/ab67616d0000b27359d587e194745dbd25b35ada,English,https://open.spotify.com/track/0FfSKPnw6nv7zQAEI0FTg2
Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,null,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,English,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
GHOS1 1N MY ROOM,Broken Symphonies,Jan Metternich,null,https://i.scdn.co/image/ab67616d0000b27359d587e194745dbd25b35ada,English,https://open.spotify.com/track/5jU9yWn6SkxXhTdP0aWUlh
